"ZRET","VRET","FAKTOR"
140.6,0,1
140.7,0.1,1
140.8,0.3,1
140.9,0.6,1
141,1.1,1
141.1,1.7,1
141.2,2.5,1
141.3,3.7,1
141.4,5,1
141.5,6.4,1
141.6,7.9,1
141.7,9.6,1
141.8,11.6,1
141.9,13.9,1
142,16.4,1
142.1,19.3,1
142.2,22.5,1
142.3,25.9,1
142.4,30,1
142.5,36,1
142.6,46.6,1
142.7,66,1
142.8,103.8,1
142.9,179.5,1
143,307.6,1
143.1,496.7,1
143.2,766.1,1
143.3,1140.7,1
143.4,1646.9,1
143.5,2326.6,1
143.6,3273.1,1
143.7,4706.9,1
143.8,6980.5,1
143.9,11284.2,1
144,19491.4,1
144.1,33288.6,1
144.2,54228.7,1
144.3,83286.9,1
144.4,120999.4,1
144.5,168699.4,1
144.6,228588.5,1
144.7,302084.7,1
144.8,389128,1
144.9,489560.4,1
145,603828.3,1
145.1,732146.2,1
145.2,873765.6,1
145.3,1027488.4,1
145.4,1193642.1,1
145.5,1372481.5,1
145.6,1563567.9,1
145.7,1766132,1
145.8,1980140.6,1
145.9,2203607.8,1
146,2434971,1
146.1,2671823.2,1
146.2,2913201.8,1
146.3,3157216,1
146.4,3402776.2,1
146.5,3649592,1
146.6,3897678.2,1
146.7,4145563.5,1
146.8,4395001,1
146.9,4646072,1
147,4891628,1
147.1,5136392.5,1
147.2,5388011,1
147.3,5642046.5,1
147.4,5892289.5,1
147.5,6139239.5,1
147.6,6383651,1
147.7,6636052,1
147.8,6894449,1
147.9,7145684,1
148,7392856.5,1
