"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","LIRE","NOVF","IABOVF","OVFAN","OVFAUS","QOMAX","QREGEL","TOVFAN","TOVFAUS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"         
1536,2,20.00,5.00,0.00,0.00,670.0,130.00,0.2000,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3413000.66,5384359.16,18293,0.00
1535,2,50.00,5.00,0.00,0.00,600.0,130.00,0.0486,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3413000.66,5384359.16,18293,0.00
1534,2,80.00,5.00,0.00,0.00,400.0,130.00,0.0491,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3413029.23,5384556.44,18293,0.00
1533,2,80.00,5.00,0.00,0.00,200.0,130.00,0.0491,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3413049.90,5384755.33,18293,0.00
1532,2,120.00,5.00,0.00,0.00,0.0,130.00,0.0494,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3413057.16,5384954.35,18293,0.00
1531,2,80.00,5.00,0.00,0.00,2170.0,130.00,0.0491,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3412283.26,5383700.11,18294,0.00
1530,2,80.00,5.00,0.00,0.00,2000.0,130.00,0.0491,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3412370.59,5383845.97,18294,0.00
1529,2,80.00,5.00,0.00,0.00,1800.0,130.00,0.0491,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3412473.71,5384017.03,18294,0.00
1528,2,80.00,5.00,0.00,0.00,1600.0,130.00,0.0491,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3412566.06,5384194.43,18294,0.00
1527,2,100.00,5.00,0.00,0.00,1400.0,130.00,0.0493,5.390,135.390,0.050,99.90,0.000,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3412658.80,5384371.63,18294,0.00
