 "ZEIT[h]" "NOVF  1" "NOVF  2"
    0.000     0.000     0.000
    0.167     0.000     0.000
    0.333     0.000     0.000
    0.500     0.000     0.000
    0.667     0.000     0.000
    0.833     0.000     0.000
    1.000     0.000     0.000
    1.167     0.000     0.000
    1.333     0.000     0.000
    1.500     0.000     0.000
    1.667     0.000     0.000
    1.833     0.000     0.000
    2.000     0.000     0.000
    2.167     0.000     0.000
    2.333     0.000     0.000
    2.500     0.000     0.000
    2.667     0.000     0.000
    2.833     0.000     0.000
    3.000     0.000     0.000
    3.167     0.000     0.000
    3.333     0.000     0.000
    3.500     0.000     0.000
    3.667     0.000     0.000
    3.833     0.000     0.000
    4.000     0.000     0.000
    4.167     0.000     0.000
    4.333     0.000     0.000
    4.500     0.000     0.000
    4.667     0.000     0.000
    4.833     0.000     0.000
    5.000     0.000     0.000
    5.167     0.000     0.000
    5.333     0.000     0.000
    5.500     0.000     0.000
    5.667     0.000     0.000
    5.833     0.000     0.000
    6.000     0.000     0.000
    6.167     0.000     0.000
    6.333     0.000     0.000
    6.500     0.000     0.000
    6.667     0.000     0.000
    6.833     0.000     0.000
    7.000     0.000     0.000
    7.167     0.000     0.000
    7.333     0.000     0.000
    7.500     0.000     0.000
    7.667     0.000     0.000
    7.833     0.000     0.000
    8.000     0.000     0.000
    8.167     0.000     0.000
    8.333     0.000     0.000
    8.500     0.000     0.000
    8.667     0.000     0.000
    8.833     0.000     0.000
    9.000     0.000     0.000
    9.167     0.000     0.000
    9.333     0.000     0.000
    9.500     0.000     0.000
    9.667     0.000     0.000
    9.833     0.000     0.000
   10.000     0.000     0.000
   10.167     0.000     0.000
   10.333     0.000     0.000
   10.500     0.000     0.000
   10.667     0.000     0.000
   10.833     0.000     0.000
   11.000     0.000     0.000
   11.167     0.000     0.000
   11.333     0.000     0.000
   11.500     0.000     0.000
   11.667     0.000     0.000
   11.833     0.000     0.000
   12.000     0.000     0.000
   12.167     0.000     0.000
   12.333     0.000     0.000
   12.500     0.000     0.000
   12.667     0.000     0.000
   12.833     0.000     0.000
   13.000     0.000     0.000
   13.167     0.000     0.000
   13.333     0.000     0.000
   13.500     0.000     0.000
   13.667     0.000     0.000
   13.833     0.000     0.000
   14.000     0.000     0.000
   14.167     0.000     0.000
   14.333     0.000     0.000
   14.500     0.000     0.000
   14.667     0.000     0.000
   14.833     0.000     0.000
   15.000     0.000     0.000
   15.167     0.000     0.000
   15.333     0.000     0.000
   15.500     0.000     0.000
   15.667     0.000     0.000
   15.833     0.000     0.000
   16.000     0.000     0.000
   16.167     0.000     0.000
   16.333     0.000     0.000
   16.500     0.000     0.000
   16.667     0.000     0.000
   16.833     0.000     0.000
   17.000     0.000     0.000
   17.167     0.000     0.000
