"ID" "IAB" "XL" "ZO" "D" "WSP" "Q" "QL" "QO"
 18293  1536     670.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1535     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1534     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1533     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18293  1532       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1531    2170.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1530    2000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1529    1800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1528    1600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1527    1400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1526    1200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1525    1000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1524     800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1523     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1522     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1521     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 18294  1520       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1517    3350.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1516    3200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1515    3000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1514    2800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1513    2600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1512    2400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1511    2200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1510    2000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1509    1800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1508    1600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1507    1400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1506    1200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1505    1000.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1504     800.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1503     600.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1502     400.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1501     200.0    130.00-NaN      -NaN      -NaN            0.00      0.00
 50055  1500       0.0    130.00-NaN      -NaN      -NaN            0.00      0.00
  3715   772   17614.0    145.15      1.51    146.66     13.90      0.00      0.00
  3715   771   17572.0    145.14      1.50    146.64     13.90      0.00      0.00
  3715   770   17531.0    145.12      1.49    146.61     13.90      0.00      0.00
  3715   769   17489.0    145.11      1.48    146.59     13.90      0.00      0.00
  3715   768   17447.0    145.10      1.46    146.56     13.90      0.00      0.00
  3715   767   17406.0    145.08      1.45    146.53     13.90      0.00      0.00
  3715   766   17364.0    145.07      1.43    146.50     13.90      0.00      0.00
  3715   765   17322.0    145.09      1.37    146.47     13.90      0.00      0.00
  3715   764   17281.0    145.12      1.32    146.43     13.90      0.00      0.00
  3715   763   17239.0    145.14      1.25    146.39     13.90      0.00      0.00
  3715   762   17197.0    145.16      1.19    146.35     13.90      0.00      0.00
  3715   761   17156.0    145.19      1.12    146.31     13.91      0.00      0.00
  3715   760   17114.0    145.21      1.04    146.25     13.91      0.00      0.00
  3715   759   17073.0    145.18      1.01    146.20     13.91      0.00      0.00
  3715   758   17031.0    145.15      0.98    146.13     13.91      0.00      0.00
  3715   757   16989.0    145.12      0.94    146.07     13.91      0.00      0.00
  3715   756   16948.0    145.10      0.89    145.99     13.91      0.00      0.00
  3715   755   16906.0    145.07      0.83    145.90     13.91      0.00      0.00
  3715   754   16864.0    145.04      0.72    145.76     13.91      0.00      0.00
  3715   753   16825.0    144.70      0.97    145.67     13.91      0.00      0.00
  3715   752   16786.0    144.35      1.27    145.62     13.91      0.00      0.00
  3715   751   16747.0    144.01      1.59    145.60     13.91      0.00      0.00
  3715   750   16708.0    143.67      1.92    145.59     13.92      0.00      0.00
  3715   749   16666.0    143.74      1.83    145.57     13.92      0.00      0.00
  3715   748   16624.0    143.80      1.74    145.54     13.92      0.00      0.00
  3715   747   16623.0    143.80      1.74    145.54     13.92      0.00      0.00
  3715   746   16614.0    143.80      1.74    145.54     13.92      0.00      0.00
  3715   745   16609.0    143.80      1.73    145.53     13.92      0.00      0.00
  3715   744   16560.0    143.80      1.71    145.51     13.92      0.00      0.00
  3715   743   16510.0    143.79      1.70    145.49     13.93      0.00      0.00
  3715   742   16475.0    143.93      1.54    145.47     13.93      0.00      0.00
  3715   741   16439.0    144.08      1.37    145.45     13.93      0.00      0.00
  3715   740   16403.0    144.22      1.20    145.42     13.93      0.00      0.00
  3715   739   16367.0    144.37      1.00    145.37     13.93      0.00      0.00
  3715   738   16325.0    144.31      1.01    145.32     13.94      0.00      0.00
  3715   737   16284.0    144.25      1.02    145.27     13.94      0.00      0.00
  3715   736   16243.0    144.18      1.03    145.21     13.94      0.00      0.00
  3715   735   16201.0    144.12      1.04    145.16     13.94      0.00      0.00
