 "ZEIT[h]" "ZRET  1" "ZRETO  1"
    0.167   140.600   140.600
    0.333   140.600   140.600
    0.500   140.600   140.600
    0.667   140.600   140.600
    0.833   140.600   140.600
    1.000   140.600   140.600
    1.167   140.600   140.600
    1.333   140.600   140.600
    1.500   140.600   140.600
    1.667   140.600   140.600
    1.833   140.600   140.600
    2.000   140.600   140.600
    2.167   140.600   140.600
    2.333   140.600   140.600
    2.500   140.600   140.600
    2.667   140.600   140.600
    2.833   140.600   140.600
    3.000   140.600   140.600
    3.167   140.600   140.600
    3.333   140.600   140.600
    3.500   140.600   140.600
    3.667   140.600   140.600
    3.833   140.600   140.600
    4.000   140.600   140.600
    4.167   140.600   140.600
    4.333   140.600   140.600
    4.500   140.600   140.600
    4.667   140.600   140.600
    4.833   140.600   140.600
    5.000   140.600   140.600
    5.167   140.600   140.600
    5.333   140.600   140.600
    5.500   140.600   140.600
    5.667   140.600   140.600
    5.833   140.600   140.600
    6.000   140.600   140.600
    6.167   140.600   140.600
    6.333   140.600   140.600
    6.500   140.600   140.600
    6.667   140.600   140.600
    6.833   140.600   140.600
    7.000   140.600   140.600
    7.167   140.600   140.600
    7.333   140.600   140.600
    7.500   140.600   140.600
    7.667   140.600   140.600
    7.833   140.600   140.600
    8.000   140.600   140.600
    8.167   140.600   140.600
    8.333   140.600   140.600
    8.500   140.600   140.600
    8.667   140.600   140.600
    8.833   140.600   140.600
    9.000   140.600   140.600
    9.167   140.600   140.600
    9.333   140.600   140.600
    9.500   140.600   140.600
    9.667   140.600   140.600
    9.833   140.600   140.600
   10.000   140.600   140.600
   10.167   140.600   140.600
   10.333   140.600   140.600
   10.500   140.600   140.600
   10.667   140.600   140.600
   10.833   140.600   140.600
   11.000   140.600   140.600
   11.167   140.600   140.600
   11.333   140.600   140.600
   11.500   140.600   140.600
   11.667   140.600   140.600
   11.833   140.600   140.600
   12.000   140.600   140.600
   12.167   140.600   140.600
   12.333   140.600   140.600
   12.500   140.600   140.600
   12.667   140.600   140.600
   12.833   140.600   140.600
   13.000   140.600   140.600
   13.167   140.600   140.600
   13.333   140.600   140.600
