"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    17.614   145.292     0.959     9.630     0.000     9.641     0.099       772
    17.614   145.434     2.591    12.519     0.086    12.557     0.206       772
    17.614   145.575     4.432    13.327     5.694    13.419     0.330       772
    17.614   145.717     6.369    13.996     4.722    14.146     0.450       772
    17.614   145.859     8.402    14.666     4.721    14.873     0.565       772
    17.614   146.001    10.526    15.256     4.160    15.531     0.678       772
    17.614   146.143    12.726    15.766     3.598    16.121     0.789       772
    17.614   146.284    14.991    16.146     2.678    16.600     0.903       772
    17.614   146.426    17.303    16.460     2.217    17.024     1.016       772
    17.614   146.568    19.669    16.932     3.327    17.581     1.119       772
    17.614   146.710    22.106    17.435     3.550    18.164     1.217       772
    17.614   146.852    24.617    18.002     3.998    18.801     1.309       772
    17.614   146.994    27.213    18.602     4.227    19.464     1.398       772
    17.614   147.135    29.887    19.112     3.597    20.048     1.491       772
    17.614   147.277    32.633    19.622     3.597    20.632     1.582       772
    17.614   147.419    35.460    20.275     4.602    21.348     1.661       772
    17.614   147.561    38.384    20.970     4.905    22.104     1.737       772
    17.614   147.703    41.411    21.742     5.442    22.928     1.806       772
    17.614   147.844    44.551    22.543     5.648    23.779     1.874       772
    17.614   147.986    47.805    23.344     5.648    24.629     1.941       772
    17.614   148.128    51.257    27.564    29.754    28.879     1.775       772
    17.614   148.270    56.032    34.049    45.738    34.049     1.646       772
    17.614   148.412    62.302    42.568    23.711    42.568     1.464       772
    17.614   148.553    69.895    52.846    25.503    52.846     1.323       772
    17.614   148.695    78.249    61.277    33.433    62.646     1.249       772
    17.614   148.837    87.274    66.018    33.430    67.416     1.295       772
    17.614   148.979    96.773    67.397     9.728    68.845     1.406       772
    17.614   149.121   106.382    68.128     5.151    69.628     1.528       772
    17.614   149.262   116.095    68.858     5.151    70.412     1.649       772
    17.614   149.404   125.912    69.589     5.151    71.196     1.769       772
    17.614   149.546   135.832    70.319     5.151    71.979     1.887       772
    17.614   149.688   145.856    71.050     5.151    72.763     2.005       772
    17.614   149.830   155.983    71.780     5.151    73.546     2.121       772
    17.614   149.972   166.214    72.511     5.151    74.330     2.236       772
    17.614   150.113   176.549    73.241     5.151    75.113     2.350       772
    17.614   150.255   186.987    73.971     5.151    75.897     2.464       772
    17.614   150.397   197.528    74.702     5.151    76.681     2.576       772
    17.614   150.539   208.174    75.441     5.211    77.472     2.687       772
    17.614   150.681   218.925    76.180     5.213    78.264     2.797       772
    17.614   150.822   229.780    76.919     5.213    79.056     2.907       772
    17.614   150.964   240.741    77.659     5.213    79.847     3.015       772
    17.614   151.106   251.806    78.398     5.214    80.639     3.123       772
    17.614   151.248   262.976    79.137     5.214    81.431     3.229       772
    17.614   151.390   274.251    79.877     5.214    82.223     3.335       772
    17.614   151.531   285.630    80.616     5.214    83.015     3.441       772
    17.614   151.673   297.115    81.355     5.214    83.807     3.545       772
    17.614   151.815   308.704    82.095     5.214    84.599     3.649       772
    17.614   151.957   320.399    82.834     5.214    85.391     3.752       772
    17.614   152.099   332.238    84.840    14.143    87.440     3.800       772
    17.614   152.240   344.402    86.850    14.174    89.631     3.842       772
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    17.364   145.217     0.260     3.759     0.000     3.774     0.069       766
    17.364   145.363     1.615    12.609    10.795    12.655     0.128       766
    17.364   145.510     3.543    13.687     7.353    13.778     0.257       766
    17.364   145.656     5.627    14.717     7.026    14.854     0.379       766
    17.364   145.803     7.850    15.602     6.033    15.788     0.497       766
    17.364   145.950    10.201    16.433     5.667    16.676     0.612       766
    17.364   146.096    12.660    17.038     4.132    17.363     0.729       766
    17.364   146.243    15.188    17.452     2.818    17.870     0.850       766
    17.364   146.389    17.777    17.865     2.818    18.378     0.967       766
    17.364   146.536    20.426    18.278     2.818    18.886     1.082       766
    17.364   146.683    23.137    18.733     3.105    19.430     1.191       766
    17.364   146.829    25.928    19.335     4.105    20.102     1.290       766
    17.364   146.976    28.837    20.755     9.687    21.574     1.337       766
    17.364   147.123    31.998    22.028     8.681    22.895     1.398       766
    17.364   147.269    35.282    22.766     5.032    23.689     1.489       766
    17.364   147.416    38.670    23.447     4.644    24.431     1.583       766
    17.364   147.562    42.157    24.127     4.642    25.173     1.675       766
    17.364   147.709    46.455    32.088    54.296    32.088     1.448       766
    17.364   147.856    52.428    43.219    40.576    43.219     1.213       766
    17.364   148.002    59.418    51.153    47.399    52.253     1.137       766
    17.364   148.149    67.427    58.102    47.399    59.209     1.139       766
    17.364   148.295    76.253    61.825    25.392    62.956     1.211       766
    17.364   148.442    85.543    64.882    20.854    66.041     1.295       766
    17.364   148.589    95.278    67.918    20.706    69.105     1.379       766
    17.364   148.735   105.458    70.953    20.706    72.168     1.461       766
    17.364   148.882   115.992    72.360     9.595    73.617     1.576       766
    17.364   149.028   126.666    73.261     6.142    74.564     1.699       766
    17.364   149.175   137.473    74.161     6.141    75.511     1.821       766
    17.364   149.322   148.412    75.061     6.142    76.457     1.941       766
    17.364   149.468   159.482    75.961     6.139    77.404     2.060       766
    17.364   149.615   170.685    76.859     6.122    78.348     2.179       766
    17.364   149.762   182.019    77.756     6.122    79.292     2.296       766
    17.364   149.908   193.484    78.654     6.121    80.237     2.411       766
    17.364   150.055   205.082    79.551     6.122    81.181     2.526       766
    17.364   150.201   216.810    80.449     6.122    82.125     2.640       766
    17.364   150.348   228.671    81.346     6.122    83.069     2.753       766
    17.364   150.495   240.663    82.244     6.122    84.013     2.865       766
    17.364   150.641   252.786    83.141     6.121    84.957     2.975       766
    17.364   150.788   265.041    84.039     6.122    85.901     3.085       766
    17.364   150.934   277.428    84.936     6.122    86.846     3.194       766
    17.364   151.081   289.946    85.833     6.122    87.790     3.303       766
    17.364   151.228   302.596    86.731     6.122    88.734     3.410       766
    17.364   151.374   315.377    87.628     6.121    89.678     3.517       766
    17.364   151.521   328.290    88.527     6.127    90.623     3.623       766
    17.364   151.667   341.335    89.424     6.120    91.567     3.728       766
    17.364   151.814   354.511    90.321     6.119    92.511     3.832       766
    17.364   151.961   367.930    92.834    17.137    95.097     3.869       766
    17.364   152.107   381.574    93.286     3.089    95.719     3.986       766
    17.364   152.254   395.284    93.739     3.089    96.342     4.103       766
    17.364   152.400   409.160    95.460    11.737    98.246     4.165       766
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    17.114   145.349     1.187    11.637     0.000    11.658     0.102       760
    17.114   145.488     3.121    16.177    11.470    16.220     0.192       760
    17.114   145.627     5.488    17.344     8.399    17.480     0.314       760
    17.114   145.766     7.934    17.855     3.673    18.097     0.438       760
    17.114   145.905    10.452    18.357     3.609    18.705     0.559       760
    17.114   146.044    13.030    18.747     2.809    19.209     0.678       760
    17.114   146.183    15.664    19.138     2.809    19.712     0.795       760
    17.114   146.322    18.351    19.528     2.809    20.216     0.908       760
    17.114   146.461    21.093    19.918     2.809    20.720     1.018       760
    17.114   146.600    23.897    20.617     5.024    21.506     1.111       760
    17.114   146.739    26.856    22.030    10.163    22.950     1.170       760
    17.114   146.878    30.025    23.569    11.076    24.516     1.225       760
    17.114   147.017    33.358    24.375     5.797    25.368     1.315       760
    17.114   147.156    36.802    25.171     5.724    26.212     1.404       760
    17.114   147.295    40.354    25.939     5.528    27.029     1.493       760
    17.114   147.434    44.846    35.190    66.543    35.190     1.274       760
    17.114   147.573    51.176    48.526    46.141    48.526     1.055       760
    17.114   147.712    58.424    54.736    41.608    55.870     1.046       760
    17.114   147.851    66.341    59.162    31.841    60.306     1.100       760
    17.114   147.990    74.866    63.480    31.064    64.633     1.158       760
    17.114   148.129    83.973    67.213    26.852    68.382     1.228       760
    17.114   148.268    93.521    70.156    21.174    71.353     1.311       760
    17.114   148.407   103.475    72.838    19.295    74.065     1.397       760
    17.114   148.546   113.659    73.673     6.003    74.944     1.517       760
    17.114   148.685   123.958    74.507     6.003    75.824     1.635       760
    17.114   148.824   134.373    75.341     6.003    76.703     1.752       760
    17.114   148.963   144.904    76.176     6.002    77.583     1.868       760
    17.114   149.102   155.551    77.010     6.003    78.463     1.982       760
    17.114   149.241   166.315    77.845     6.003    79.342     2.096       760
    17.114   149.380   177.194    78.679     6.003    80.222     2.209       760
    17.114   149.519   188.189    79.514     6.003    81.101     2.320       760
    17.114   149.658   199.300    80.348     6.003    81.981     2.431       760
    17.114   149.797   210.528    81.183     6.002    82.861     2.541       760
    17.114   149.936   221.871    82.017     6.003    83.740     2.650       760
    17.114   150.075   233.330    82.852     6.003    84.620     2.757       760
    17.114   150.214   244.905    83.686     6.003    85.499     2.864       760
    17.114   150.353   256.596    84.520     6.003    86.379     2.971       760
    17.114   150.492   268.404    85.355     6.003    87.259     3.076       760
    17.114   150.631   280.327    86.189     6.002    88.138     3.181       760
    17.114   150.770   292.366    87.024     6.003    89.018     3.284       760
    17.114   150.909   304.521    87.858     6.003    89.898     3.387       760
    17.114   151.048   316.792    88.693     6.003    90.777     3.490       760
    17.114   151.187   329.180    89.527     6.003    91.657     3.591       760
    17.114   151.326   341.683    90.362     6.002    92.536     3.692       760
    17.114   151.465   354.302    91.196     6.001    93.416     3.793       760
    17.114   151.604   367.037    92.030     6.001    94.295     3.892       760
    17.114   151.743   380.077    94.498    17.750    96.881     3.923       760
    17.114   151.882   393.244    94.930     3.111    97.474     4.034       760
    17.114   152.021   406.470    95.362     3.111    98.067     4.145       760
    17.114   152.161   419.925    98.600    23.290   101.479     4.138       760
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    16.864   145.178     1.935    17.226     0.000    17.267     0.112       754
    16.864   145.316     4.377    17.914    11.788    18.071     0.242       754
    16.864   145.453     6.859    18.114     1.453    18.412     0.373       754
    16.864   145.591     9.369    18.309     1.419    18.750     0.500       754
    16.864   145.729    11.906    18.503     1.402    19.086     0.624       754
    16.864   145.867    14.469    18.696     1.402    19.423     0.745       754
    16.864   146.005    17.059    18.889     1.402    19.760     0.863       754
    16.864   146.142    19.759    20.511    11.771    21.445     0.921       754
    16.864   146.280    22.680    21.879     9.928    22.841     0.993       754
    16.864   146.418    25.782    23.033     8.370    24.032     1.073       754
