"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
1223,4,0.00,17.52,0.00,0.00,2369.0,115.36,0.0125,9.405,124.765,1500.000,16.58,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000001,3420147.43,5394754.61,21384,0.00
1222,4,0.00,14.00,0.00,0.00,2300.0,117.72,0.0249,7.385,125.105,1500.000,13.85,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00008829,3420191.13,5394808.00,21384,0.00
1221,4,0.00,20.88,0.00,0.00,2200.0,110.77,0.0420,14.540,125.310,1500.000,19.44,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00017732,3420254.48,5394885.38,21384,0.00
1220,4,0.00,14.91,0.00,0.00,2098.0,116.61,0.0353,8.682,125.292,1500.000,13.72,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00013492,3420319.09,5394964.31,21384,0.00
1219,4,0.00,13.44,0.00,0.00,1997.0,118.07,0.0308,7.204,125.274,1500.000,12.14,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00011410,3420383.55,5395042.07,21384,0.00
1218,4,0.00,13.57,0.00,0.00,1897.0,117.96,0.0227,7.311,125.271,1500.000,12.32,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00003334,3420447.58,5395118.88,21384,0.00
1217,4,0.00,14.17,0.00,0.00,1796.0,117.06,0.0254,8.210,125.270,1500.000,13.19,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00003497,3420511.60,5395196.99,21384,0.00
1216,4,0.00,13.91,0.00,0.00,1696.0,117.28,0.0229,7.986,125.266,1500.000,13.06,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00002492,3420574.73,5395274.55,21384,0.00
1215,4,0.00,13.80,0.00,0.00,1595.0,117.22,0.0206,8.046,125.266,1500.000,13.08,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00001573,3420638.49,5395352.87,21384,0.00
1214,4,0.00,14.86,0.00,0.00,1485.0,116.29,0.0334,8.977,125.267,1500.000,13.98,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00006500,3420675.76,5395455.40,21384,0.00
1213,4,0.00,14.38,0.00,0.00,1374.0,116.47,0.0351,8.792,125.262,1500.000,13.80,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00008800,3420708.51,5395561.46,21384,0.00
1212,4,0.00,13.47,0.00,0.00,1268.0,116.96,0.0371,8.293,125.253,1500.000,13.28,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00014742,3420748.57,5395658.86,21384,0.00
1211,4,0.00,17.21,0.00,0.00,1171.0,116.74,0.0368,8.500,125.240,1500.000,13.37,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00017970,3420797.92,5395742.37,21384,0.00
1210,4,0.00,19.17,0.00,0.00,1068.0,117.56,0.0358,7.657,125.217,1500.000,12.40,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00023635,3420850.32,5395831.04,21384,0.00
1209,4,0.00,18.96,0.00,0.00,958.0,117.63,0.0353,7.567,125.197,1500.000,12.50,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00025015,3420911.29,5395921.83,21384,0.00
1208,4,0.00,18.43,0.00,0.00,856.0,117.12,0.0317,8.046,125.166,1500.000,13.03,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00020176,3420983.92,5395993.45,21384,0.00
1207,4,0.00,17.48,0.00,0.00,754.0,117.71,0.0286,7.429,125.139,1500.000,12.41,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00015379,3421056.55,5396065.07,21384,0.00
1206,4,0.00,13.64,0.00,0.00,645.0,116.40,0.0304,8.735,125.135,1500.000,13.54,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00015834,3421134.16,5396141.60,21384,0.00
1205,4,0.00,14.85,0.00,0.00,545.0,116.12,0.0324,8.999,125.119,1500.000,13.73,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00021918,3421209.40,5396207.39,21384,0.00
1204,4,0.00,13.51,0.00,0.00,448.0,117.32,0.0253,7.782,125.102,1500.000,12.46,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00009453,3421283.51,5396269.98,21384,0.00
1203,4,0.00,13.64,0.00,0.00,343.0,116.73,0.0227,8.365,125.095,1500.000,12.84,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00005420,3421363.72,5396337.73,21384,0.00
1202,4,0.00,14.17,0.00,0.00,247.0,116.17,0.0125,8.924,125.094,1500.000,11.30,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000538,3421440.74,5396394.80,21384,0.00
1201,4,0.00,10.47,0.00,0.00,138.0,116.83,0.0125,8.288,125.118,1500.000,10.37,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000150,3421534.28,5396450.70,21384,0.00
1190,4,0.00,17.06,0.00,0.00,31096.0,121.11,0.0125,4.040,125.150,218.160,16.90,0.000,0.000,413.117,0.0270,415.578,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00000053,3420368.74,5394657.82,96187,0.00
