"TXLS","QGAM","QKRA","QWEH","QMIN","D-E"
41407,1718.16,1500,218.16,15,203.16
41407.021,1718.16,1500,218.16,15,203.16
41407.042,1715.84,1500,215.84,15,200.84
41407.062,1720.51,1500,220.51,15,205.51
41407.083,1728.77,1500,228.77,15,213.77
41407.104,1737.39,1500,237.39,15,222.39
41407.125,1754.29,1500,254.29,15,239.29
41407.146,1768.25,1500,268.25,15,253.25
41407.167,1764.54,1500,264.54,15,249.54
41407.187,1752.4,1500,252.4,15,237.4
41407.208,1737.69,1500,237.69,15,222.69
41407.229,1723.58,1500,223.58,15,208.58
41407.25,1697.17,1500,197.17,15,182.17
41407.271,1668.94,1500,168.94,15,153.94
41407.292,1660.94,1500,160.94,15,145.94
41407.312,1660.64,1500,160.64,15,145.64
41407.333,1658.08,1500,158.08,15,143.08
41407.354,1654.52,1500,154.52,15,139.52
41407.375,1650.09,1500,150.09,15,135.09
41407.396,1655.18,1500,155.18,15,140.18
41407.417,1671.68,1500,171.68,15,156.68
41407.437,1688.66,1500,188.66,15,173.66
41407.458,1707.11,1500,207.11,15,192.11
41407.479,1728.57,1500,228.57,15,213.57
41407.5,1752.89,1500,252.89,15,237.89
41407.521,1769.31,1500,269.31,15,254.31
41407.542,1769.71,1500,269.71,15,254.71
41407.562,1761.53,1500,261.53,15,246.53
41407.583,1750.56,1500,250.56,15,235.56
41407.604,1739.28,1500,239.28,15,224.28
41407.625,1732.06,1500,232.06,15,217.06
41407.646,1727.68,1500,227.68,15,212.68
41407.667,1721.87,1500,221.87,15,206.87
41407.687,1715.4,1500,215.4,15,200.4
41407.708,1708.78,1500,208.78,15,193.78
41407.729,1700.11,1500,200.11,15,185.11
41407.75,1682.54,1500,182.54,15,167.54
41407.771,1673.84,1500,173.84,15,158.84
41407.792,1684.63,1500,184.63,15,169.63
41407.812,1697.24,1500,197.24,15,182.24
41407.833,1707.28,1500,207.28,15,192.28
41407.854,1716.9,1500,216.9,15,201.9
41407.875,1725.77,1500,225.77,15,210.77
41407.896,1731.75,1500,231.75,15,216.75
41407.917,1734.98,1500,234.98,15,219.98
41407.937,1737.44,1500,237.44,15,222.44
41407.958,1739.68,1500,239.68,15,224.68
