"TAGXLS","H_Kron_NN","H_Frei_NN","Q_Kron_1h","Q_Kron_3h","Q_Kron_6h"
40544.041666667,135.455,135.0775,941.77237342837,856.66986966452,856.66986966452
40544.083333333,135.41,135.075,881.176222229,856.66986966452,856.66986966452
40544.125,135.3025,135.0425,747.0610133362,791.23734461467,823.95360713959
40544.166666667,135.26,134.9825,745.4747982788,731.42460199992,761.33097330729
40544.208333333,135.2,134.945,701.73799438475,713.77204467772,722.59832333882
40544.25,135.16,134.9075,694.10334136961,689.2104711151,701.49125789641
40544.291666667,135.1275,134.885,671.79007759094,698.34046531676,693.77546821593
40544.333333333,135.13,134.835,729.12797698972,749.95682169595,724.14864350636
40544.375,135.175,134.7725,848.9524105072,812.40115394592,781.17898782093
40544.416666667,135.175,134.76,859.12307434083,897.70461494445,855.05288444518
40544.458333333,135.26,134.745,985.03835998533,954.16836507162,925.93649000803
40544.5,135.305,134.78,1018.3436608887,1012.3164630636,983.24241406761
40544.541666667,135.3375,134.815,1033.5673683167,1010.3697341411,1011.3430986024
40544.583333333,135.3325,134.87,979.19817321777,955.46492471061,982.91732942586
40544.625,135.2725,134.9125,853.62923259736,896.44545296986,925.95518884024
40544.666666667,135.285,134.925,856.50895309445,855.33833671568,875.89189484277
40544.708333333,135.2825,134.9225,855.87682445523,866.06726846057,860.70280258813
40544.75,135.305,134.925,885.81602783202,920.92085130055,893.49405988056
40544.791666667,135.3775,134.8925,1021.0697016144,1000.9290737279,960.92496251422
40544.833333333,135.4625,134.9275,1095.9014917374,1030.9989231746,1015.9639984512
40544.875,135.44,135.02,976.02557617185,1004.5336542002,1017.7662886874
40544.916666667,135.4275,135.0375,941.67389469148,935.84523385365,970.18944402693
40544.958333333,135.4025,135.055,889.83623069762,906.24334247589,921.04428816477
40545,135.3975,135.05,887.21990203856,885.49099332173,895.86716789881
40545.041666667,135.3925,135.05,879.416847229,875.05704559325,880.27401945749
40545.083333333,135.39,135.0675,858.53438751218,827.25096033731,851.15400296528
40545.125,135.3175,135.0675,743.80164627074,777.67145863849,802.4612094879
40545.166666667,135.28,135.0225,730.67834213255,728.33076929726,753.00111396787
40545.208333333,135.23,134.9725,710.5123194885,709.49672135669,718.91374532698
40545.25,135.165,134.9175,687.29950244903,680.28926453906,694.89299294787
40545.291666667,135.0975,134.87,643.05597167966,676.09855220794,678.1939083735
40545.333333333,135.08,134.7875,697.94018249513,709.12346754709,692.61100987752
40545.375,135.1175,134.7525,786.37424846649,757.53411507925,733.32879131317
40545.416666667,135.1175,134.75,788.28791427612,831.37166269937,794.45288888931
40545.458333333,135.1875,134.7075,919.45282535551,887.68425604502,859.5279593722
40545.5,135.2375,134.745,955.31202850342,941.93599132537,914.81012368519
40545.541666667,135.255,134.78,951.04312011717,953.20297225951,947.56948179244
40545.583333333,135.2875,134.83,953.25376815793,915.7244844055,934.46372833251
40545.625,135.28,134.93,842.87656494139,883.40661591847,899.56555016199
40545.666666667,135.2975,134.9425,854.08951465608,868.49706762949,875.95184177398
40545.708333333,135.3475,134.9575,908.52512329099,888.75763301848,878.62735032398
40545.75,135.35,134.965,903.65826110838,939.65868113199,914.20815707524
40545.791666667,135.3875,134.92,1006.7926589966,987.33962453206,963.49915283202
40545.833333333,135.4375,134.94,1051.5679534912,994.67282694499,991.00622573853
40545.875,135.3975,135.01,925.65786834718,947.51313919067,971.09298306783
40545.916666667,135.3525,135.0025,865.31359573362,883.2987776184,915.40595840454
40545.958333333,135.355,135.0125,858.9248687744,859.38202316283,871.34040039062
40546,135.35,135.01,853.90760498046,802.14213453927,830.76207885105
40546.041666667,135.275,135.0475,693.59392986296,743.42388904569,772.78301179248
40546.083333333,135.2275,134.99,682.77013229366,686.78646533963,715.10517719266
40546.125,135.2,134.9575,683.99533386226,682.44109464005,684.61377998984
40546.166666667,135.17,134.9275,680.55781776424,679.91993901567,681.18051682786
40546.208333333,135.1225,134.875,675.20666542052,666.08371246336,673.00182573951
40546.25,135.0725,134.8275,642.48665420531,703.83662239074,684.96016742705
40546.291666667,135.13,134.765,793.81654754638,760.16151432037,731.99906835555
40546.333333333,135.1775,134.7825,844.18134120942,820.41598084767,790.28874758402
40546.375,135.1575,134.775,823.25005378722,830.42824545542,825.42211315154
40546.416666667,135.155,134.77,823.85334136961,856.52120516457,843.47472530999
40546.458333333,135.2,134.725,922.46022033689,897.2122163391,876.86671075183
40546.5,135.2375,134.7575,945.3230873108,950.54649581908,923.87935607909
40546.541666667,135.275,134.7725,983.85617980956,977.29441767375,963.92045674641
40546.583333333,135.3175,134.82,1002.7039859009,962.69515391031,969.99478579203
40546.625,135.295,134.9,901.52529602047,913.20512858072,937.95014124551
40546.666666667,135.275,134.93,835.38610382079,861.88009109495,887.54260983784
40546.708333333,135.29,134.9375,848.72887344358,847.37891515094,854.62950312294
40546.75,135.3125,134.9575,858.02176818845,887.60177993773,867.49034754434
40546.791666667,135.345,134.9125,956.05469818115,934.25398661295,910.92788327534
40546.833333333,135.3975,134.95,988.68549346925,940.4643649292,937.35917577108
40546.875,135.37,135.0175,876.65290313719,896.21553833007,918.33995162963
40546.916666667,135.34,135.025,823.30821838378,842.36420623778,869.28987228392
40546.958333333,135.3425,135.025,827.13149719237,827.9796529134,835.17192957559
40547,135.35,135.03,833.49924316404,782.42783520379,805.2037440586
40547.041666667,135.2775,135.0575,686.65276525496,722.10677260715,752.26730390547
40547.083333333,135.225,135.015,646.16830940246,647.72024558384,684.91350909549
40547.125,135.1825,134.99,610.3396620941,625.5638285319,636.64203705787
40547.166666667,135.1425,134.94,620.18351409913,605.34857538859,615.45620196024
