"ZEIT[H]","Q_gesamt","Q_Kraft","Q_Wehr"
41407,1744.82,1500,244.82
41407.021,1730.19,1500,230.19
41407.042,1727.59,1500,227.59
41407.062,1731.64,1500,231.64
41407.083,1739.2,1500,239.2
41407.104,1747.67,1500,247.67
41407.125,1765.01,1500,265.01
41407.146,1779.46,1500,279.46
41407.167,1775.94,1500,275.94
41407.187,1763.77,1500,263.77
41407.208,1748.93,1500,248.93
41407.229,1734.77,1500,234.77
41407.25,1710.52,1500,210.52
41407.271,1682.62,1500,182.62
41407.292,1672.06,1500,172.06
41407.312,1671.07,1500,171.07
41407.333,1668.52,1500,168.52
41407.354,1664.78,1500,164.78
41407.375,1660.18,1500,160.18
41407.396,1664.93,1500,164.93
41407.417,1680.39,1500,180.39
41407.437,1696.96,1500,196.96
41407.458,1716.07,1500,216.07
41407.479,1738,1500,238
41407.5,1762.46,1500,262.46
41407.521,1778.66,1500,278.66
41407.542,1778.78,1500,278.78
41407.562,1770.44,1500,270.44
41407.583,1759.46,1500,259.46
41407.604,1748.18,1500,248.18
41407.625,1740.97,1500,240.97
41407.646,1736.6,1500,236.6
41407.667,1730.79,1500,230.79
41407.687,1724.31,1500,224.31
41407.708,1717.68,1500,217.68
41407.729,1710.5,1500,210.5
41407.75,1694.23,1500,194.23
41407.771,1683.92,1500,183.92
41407.792,1693.16,1500,193.16
41407.812,1705.58,1500,205.58
41407.833,1715.48,1500,215.48
41407.854,1724.76,1500,224.76
41407.875,1733.07,1500,233.07
41407.896,1739.3,1500,239.3
41407.917,1743.18,1500,243.18
41407.937,1745.53,1500,245.53
41407.958,1747.08,1500,247.08
41407.979,1748.69,1500,248.69
41408,1750.24,1500,250.24
41408.021,1748.93,1500,248.93
41408.042,1743.25,1500,243.25
41408.062,1734.15,1500,234.15
41408.083,1722.76,1500,222.76
41408.104,1711.26,1500,211.26
41408.125,1702.67,1500,202.67
41408.146,1702.44,1500,202.44
41408.167,1710.77,1500,210.77
41408.187,1720.59,1500,220.59
41408.208,1728.92,1500,228.92
41408.229,1736.65,1500,236.65
41408.25,1740.96,1500,240.96
41408.271,1736.69,1500,236.69
41408.292,1723.94,1500,223.94
41408.312,1706.25,1500,206.25
41408.333,1685.09,1500,185.09
41408.354,1663,1500,163
41408.375,1649.53,1500,149.53
41408.396,1645.03,1500,145.03
41408.417,1640.61,1500,140.61
41408.437,1635.32,1500,135.32
41408.458,1630.68,1500,130.68
41408.479,1625.19,1500,125.19
41408.5,1614.07,1500,114.07
41408.521,1603.66,1500,103.66
41408.542,1601.4,1500,101.4
41408.562,1600.6,1500,100.6
41408.583,1598.16,1500,98.16
41408.604,1595.23,1500,95.23
41408.625,1602.74,1500,102.74
41408.646,1617.41,1500,117.41
41408.667,1625.68,1500,125.68
41408.687,1629.49,1500,129.49
41408.708,1631.24,1500,131.24
41408.729,1632.74,1500,132.74
41408.75,1635.15,1500,135.15
41408.771,1640.85,1500,140.85
41408.792,1650.67,1500,150.67
41408.812,1662.35,1500,162.35
41408.833,1674.12,1500,174.12
41408.854,1685.55,1500,185.55
41408.875,1690.54,1500,190.54
41408.896,1689.17,1500,189.17
41408.917,1687.69,1500,187.69
41408.937,1686.79,1500,186.79
41408.958,1687,1500,187
41408.979,1687.89,1500,187.89
41409,1697.27,1500,197.27
41409.021,1707.8,1500,207.8
41409.042,1707.63,1500,207.63
41409.062,1702.26,1500,202.26
41409.083,1695.11,1500,195.11
41409.104,1685.26,1500,185.26
41409.125,1664.28,1500,164.28
41409.146,1648.3,1500,148.3
