"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157" "K1166" "K1190"
 41407.021 1728.44 1727.69 1726.07  932.80 1725.48 1728.64 1728.94 1729.32 1729.52 1729.58 1729.60 1729.59  228.89
 41407.042 1729.03 1729.07 1729.25  936.84 1729.33 1729.03 1729.04 1729.06 1729.11 1729.14 1729.16 1729.23  229.62
 41407.062 1730.55 1730.26 1730.05  937.54 1730.04 1730.66 1730.89 1731.34 1731.75 1732.03 1732.21 1732.71  235.42
 41407.083 1734.47 1733.55 1732.13  939.05 1731.68 1734.75 1735.28 1736.23 1737.03 1737.55 1737.88 1738.78  243.43
 41407.104 1741.26 1739.66 1737.16  943.65 1736.38 1741.74 1742.65 1744.27 1745.62 1746.50 1747.06 1748.56  256.34
 41407.125 1751.61 1749.33 1745.69  951.70 1744.54 1752.30 1753.58 1755.85 1757.72 1758.94 1759.69 1761.74  272.24
 41407.146 1762.75 1760.65 1757.01  962.91 1755.79 1763.36 1764.46 1766.31 1767.75 1768.66 1769.21 1770.66  277.70
 41407.167 1768.80 1768.12 1766.73  973.52 1766.21 1768.98 1769.27 1769.66 1769.88 1769.98 1770.03 1770.10  269.85
 41407.187 1767.15 1768.12 1769.71  977.80 1770.19 1766.85 1766.29 1765.24 1764.33 1763.72 1763.33 1762.24  256.35
 41407.208 1759.45 1761.47 1764.91  973.85 1766.03 1758.86 1757.75 1755.82 1754.23 1753.19 1752.55 1750.81  241.85
 41407.229 1747.33 1750.09 1754.55  963.89 1755.96 1746.50 1744.96 1742.24 1740.00 1738.54 1737.63 1735.17  222.65
 41407.250 1730.29 1733.99 1739.80  949.66 1741.62 1729.17 1727.06 1723.35 1720.29 1718.29 1717.04 1713.67  196.57
 41407.271 1710.09 1714.15 1720.74  931.01 1722.87 1708.88 1706.65 1702.83 1699.76 1697.79 1696.58 1693.34  177.34
 41407.292 1692.75 1695.80 1700.85  910.53 1702.51 1691.85 1690.23 1687.54 1685.46 1684.17 1683.38 1681.33  171.57
 41407.312 1681.57 1683.20 1685.65  894.16 1686.41 1681.07 1680.17 1678.66 1677.50 1676.77 1676.33 1675.18  169.80
 41407.333 1674.68 1675.56 1676.64  884.53 1676.93 1674.40 1673.86 1672.92 1672.15 1671.66 1671.36 1670.55  166.65
 41407.354 1669.59 1670.34 1671.31  879.17 1671.58 1669.35 1668.90 1668.10 1667.44 1667.01 1666.74 1666.03  162.48
 41407.375 1665.95 1666.48 1667.31  875.18 1667.58 1665.80 1665.52 1665.06 1664.72 1664.51 1664.38 1664.05  162.56
 41407.396 1666.09 1665.69 1665.24  872.61 1665.13 1666.22 1666.50 1667.07 1667.60 1667.98 1668.22 1668.91  172.66
 41407.417 1672.13 1670.45 1667.87  874.35 1667.07 1672.65 1673.62 1675.37 1676.84 1677.81 1678.42 1680.09  188.68
 41407.437 1683.41 1680.76 1676.55  882.34 1675.22 1684.21 1685.69 1688.27 1690.38 1691.75 1692.60 1694.90  206.52
 41407.458 1698.55 1695.27 1690.13  895.54 1688.53 1699.54 1701.38 1704.59 1707.19 1708.89 1709.94 1712.76  227.04
 41407.479 1716.98 1713.17 1707.24  912.33 1705.39 1718.14 1720.28 1724.02 1727.07 1729.04 1730.27 1733.56  250.23
