"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157"
 41407.021 124.153 123.869 123.580 123.450 123.504 124.213 124.363 124.563 124.781 124.886 124.970
 41407.042 124.153 123.870 123.581 123.450 123.504 124.213 124.363 124.563 124.781 124.887 124.970
 41407.062 124.154 123.870 123.580 123.450 123.504 124.214 124.364 124.564 124.783 124.889 124.972
 41407.083 124.156 123.871 123.581 123.450 123.504 124.216 124.367 124.568 124.787 124.894 124.978
 41407.104 124.160 123.874 123.582 123.450 123.505 124.221 124.373 124.574 124.795 124.902 124.986
 41407.125 124.167 123.879 123.584 123.450 123.506 124.228 124.381 124.584 124.806 124.914 124.999
 41407.146 124.174 123.884 123.587 123.450 123.507 124.236 124.389 124.593 124.816 124.925 125.010
 41407.167 124.178 123.887 123.588 123.450 123.508 124.240 124.393 124.597 124.820 124.929 125.014
 41407.187 124.177 123.886 123.588 123.450 123.508 124.238 124.391 124.594 124.816 124.924 125.009
 41407.208 124.171 123.882 123.586 123.450 123.507 124.232 124.384 124.586 124.807 124.914 124.999
 41407.229 124.163 123.876 123.583 123.450 123.506 124.224 124.375 124.575 124.794 124.900 124.984
 41407.250 124.152 123.869 123.580 123.450 123.504 124.212 124.361 124.559 124.776 124.880 124.963
 41407.271 124.139 123.860 123.576 123.450 123.502 124.198 124.346 124.542 124.755 124.859 124.940
 41407.292 124.128 123.852 123.573 123.450 123.500 124.187 124.333 124.528 124.740 124.843 124.924
 41407.312 124.121 123.847 123.571 123.450 123.499 124.180 124.325 124.520 124.731 124.833 124.914
 41407.333 124.117 123.845 123.570 123.450 123.499 124.176 124.321 124.515 124.725 124.828 124.908
 41407.354 124.115 123.843 123.569 123.450 123.498 124.173 124.318 124.511 124.721 124.823 124.903
 41407.375 124.112 123.842 123.569 123.450 123.498 124.171 124.315 124.509 124.718 124.820 124.900
 41407.396 124.113 123.842 123.569 123.450 123.498 124.171 124.316 124.510 124.719 124.822 124.902
 41407.417 124.117 123.845 123.570 123.450 123.498 124.175 124.321 124.516 124.727 124.830 124.911
 41407.437 124.125 123.850 123.572 123.450 123.500 124.184 124.330 124.527 124.740 124.844 124.926
 41407.458 124.135 123.857 123.575 123.450 123.501 124.194 124.342 124.540 124.756 124.861 124.944
 41407.479 124.147 123.865 123.579 123.450 123.503 124.207 124.357 124.557 124.775 124.881 124.965
