"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
     2.369   115.710     0.644     3.184     0.000     3.296     0.195      1223
     2.369   116.061     1.900     3.985     0.034     4.361     0.436      1223
     2.369   116.411     3.437     4.787     2.288     5.425     0.634      1223
     2.369   116.762     5.262     5.644     2.447     6.533     0.805      1223
     2.369   117.112     7.393     6.521     2.503     7.656     0.966      1223
     2.369   117.462    10.848    16.612    28.797    18.114     0.599      1223
     2.369   117.813    22.911    51.249    98.847    53.385     0.429      1223
     2.369   118.163    40.908    51.468     0.624    54.131     0.756      1223
     2.369   118.514    58.981    51.686     0.624    54.878     1.075      1223
     2.369   118.864    77.131    51.905     0.624    55.624     1.387      1223
     2.369   119.215    95.357    52.123     0.624    56.371     1.692      1223
     2.369   119.565   113.643    52.220     0.276    57.083     1.991      1223
     2.369   119.915   131.953    52.289     0.196    57.787     2.283      1223
     2.369   120.266   150.288    52.357     0.196    58.491     2.569      1223
     2.369   120.616   168.647    52.426     0.196    59.195     2.849      1223
     2.369   120.967   187.030    52.495     0.196    59.900     3.122      1223
     2.369   121.317   205.437    52.564     0.196    60.604     3.390      1223
     2.369   121.667   223.868    52.632     0.196    61.308     3.652      1223
     2.369   122.018   242.323    52.701     0.196    62.012     3.908      1223
     2.369   122.368   260.802    52.770     0.196    62.717     4.158      1223
     2.369   122.719   279.306    52.839     0.196    63.421     4.404      1223
     2.369   123.069   297.833    52.907     0.196    64.125     4.645      1223
     2.369   123.420   316.384    52.976     0.196    64.829     4.880      1223
     2.369   123.770   334.960    53.045     0.196    65.534     5.111      1223
     2.369   124.120   353.560    53.114     0.196    66.238     5.338      1223
     2.369   124.471   372.184    53.182     0.196    66.942     5.560      1223
     2.369   124.821   390.831    53.251     0.196    67.646     5.778      1223
     2.369   125.172   409.503    53.320     0.196    68.351     5.991      1223
     2.369   125.522   428.199    53.389     0.196    69.055     6.201      1223
     2.369   125.872   446.919    53.457     0.196    69.759     6.407      1223
