"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    29.388   114.110     0.253     3.556     0.000     3.593     0.070       600
    29.388   114.210     0.623     3.850     0.034     3.948     0.158       600
    29.388   114.310     1.023     4.144     2.938     4.304     0.238       600
    29.388   114.410     1.451     4.395     2.508     4.631     0.313       600
    29.388   114.510     1.898     4.556     1.613     4.891     0.388       600
    29.388   114.610     2.362     4.717     1.613     5.151     0.459       600
    29.388   114.710     2.842     4.879     1.613     5.411     0.525       600
    29.388   114.810     3.338     5.040     1.613     5.672     0.589       600
    29.388   114.910     3.850     5.201     1.613     5.932     0.649       600
    29.388   115.010     4.379     5.397     1.959     6.220     0.704       600
    29.388   115.110     4.940     5.876     4.793     6.749     0.732       600
    29.388   115.210     5.555     6.418     5.416     7.330     0.758       600
    29.388   115.310     6.224     6.959     5.415     7.911     0.787       600
    29.388   115.410     6.947     7.501     5.416     8.493     0.818       600
    29.388   115.510     7.724     8.043     5.416     9.074     0.851       600
    29.388   115.610     8.555     8.584     5.416     9.656     0.886       600
    29.388   115.710     9.441     9.089     5.050    10.209     0.925       600
    29.388   115.810    10.358     9.265     1.759    10.511     0.985       600
    29.388   115.910    11.294     9.441     1.759    10.814     1.044       600
    29.388   116.010    12.246     9.617     1.759    11.116     1.102       600
    29.388   116.110    13.217     9.793     1.759    11.418     1.158       600
    29.388   116.210    14.205     9.969     1.759    11.721     1.212       600
    29.388   116.310    15.211    10.144     1.759    12.023     1.265       600
    29.388   116.410    16.234    10.320     1.759    12.325     1.317       600
    29.388   116.510    17.275    10.496     1.759    12.628     1.368       600
    29.388   116.610    18.333    10.672     1.759    12.930     1.418       600
    29.388   116.710    19.407    10.760     0.880    13.181     1.472       600
    29.388   116.810    20.483    10.760     0.000    13.381     1.531       600
    29.388   116.910    21.559    10.760     0.000    13.581     1.587       600
    29.388   117.010    22.635    10.760     0.000    13.781     1.642       600
    29.388   117.110    23.711    10.760     0.000    13.981     1.696       600
    29.388   117.210    24.787    10.760     0.000    14.181     1.748       600
    29.388   117.310    25.863    10.760     0.000    14.381     1.798       600
    29.388   117.410    26.939    10.760     0.000    14.581     1.848       600
    29.388   117.510    28.015    10.760     0.000    14.781     1.895       600
    29.388   117.610    29.091    10.760     0.000    14.981     1.942       600
    29.388   117.710    30.167    10.760     0.000    15.181     1.987       600
    29.388   117.810    31.243    10.760     0.000    15.381     2.031       600
    29.388   117.910    32.319    10.760     0.000    15.581     2.074       600
    29.388   118.010    33.395    10.760     0.000    15.781     2.116       600
    29.388   118.110    34.471    10.760     0.000    15.981     2.157       600
    29.388   118.210    35.547    10.760     0.000    16.181     2.197       600
    29.388   118.310    36.623    10.760     0.000    16.381     2.236       600
    29.388   118.410    37.699    10.760     0.000    16.581     2.274       600
    29.388   118.510    38.775    10.760     0.000    16.781     2.311       600
    29.388   118.610    39.851    10.760     0.000    16.981     2.347       600
    29.388   118.710    40.927    10.760     0.000    17.181     2.382       600
    29.388   118.810    42.003    10.760     0.000    17.381     2.417       600
    29.388   118.910    43.079    10.760     0.000    17.581     2.450       600
    29.388   119.010    44.155    10.760     0.000    17.781     2.483       600
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
    29.352   113.990     0.207     3.227     0.000     3.251     0.064       599
    29.352   114.090     0.548     3.578     1.460     3.656     0.150       599
    29.352   114.190     0.923     3.929     3.513     4.062     0.227       599
    29.352   114.290     1.331     4.203     2.739     4.407     0.302       599
    29.352   114.390     1.763     4.426     2.224     4.714     0.374       599
    29.352   114.490     2.216     4.648     2.224     5.020     0.442       599
